,Base,,,,,,Hand Optimized,,,,,,generated,,,,,,
,Batch,Jacobi,Monte,Multi,Neural,,Batch,Jacobi,Monte,Multi,Neural,,Batch,Jacobi,Monte,Multi,Neural,,
Measurements,1.036396,1.062518,12.289497,0.07065,0.302594,,0.824601,0.542757,5.986856,0.072057,0.23753,,0.914529,1.567362,21.858132,0.041064,0.192999,,
,0.96942,1.096565,12.622929,0.067081,0.454908,,0.773463,0.562633,5.928353,0.072805,0.235285,,0.913744,1.578632,21.973571,0.041176,0.173034,,
,0.982967,1.048508,12.579525,0.068961,0.302343,,0.827506,0.629131,5.966142,0.071332,0.235537,,0.91098,1.543891,21.885697,0.040788,0.15196,,
,1.051694,1.049641,12.266323,0.068285,0.30252,,0.783579,0.541198,5.985035,0.072106,0.235895,,0.9092,1.568964,21.866856,0.040669,0.147933,,
,1.131802,1.088916,12.355119,0.064592,0.304193,,0.811445,0.540747,5.985369,0.071691,0.233805,,0.908923,1.565336,21.895339,0.041181,0.155939,,
,1.061884,1.051023,12.315033,0.06831,0.305303,,0.820077,0.546088,6.044952,0.073002,0.23933,,0.908296,1.539719,21.863141,0.040842,0.150067,,
,1.07523,1.054523,12.836953,0.070148,0.309858,,0.781543,0.575706,5.938271,0.071603,0.237249,,0.91011,1.609938,21.971607,0.041009,0.14596,,
,1.03023,1.036161,11.907326,0.070128,0.320776,,0.787421,0.546514,5.938987,0.07321,0.237109,,0.912412,1.869215,21.868214,0.040933,0.189941,,
,1.012899,1.08097,12.558627,0.069591,0.45198,,0.811996,0.530732,5.800752,0.07177,0.236757,,0.912994,1.536997,21.97795,0.040979,0.143259,,1000000
,1.057656,1.047848,12.273898,0.069783,0.304812,,0.795736,0.52503,5.802143,0.072561,0.236576,,0.910453,1.562305,21.888845,0.040921,0.199487,,
,1.003889,1.047483,12.149828,0.069763,0.302736,,0.787813,0.511397,5.823463,0.071922,0.236328,,0.910667,1.590162,21.85496,0.041031,0.142971,,
