Function Stack                                                                                               CPU Time:Total  CPU Time:Effective Time:Total  CPU Time:Spin Time:Total  CPU Time:Overhead Time:Total  CPU Time:Self  CPU Time:Effective Time:Self  CPU Time:Spin Time:Self  CPU Time:Overhead Time:Self  Module            Function (Full)                                                                                                                 Source File                Start Address
-----------------------------------------------------------------------------------------------------------  --------------  -----------------------------  ------------------------  ----------------------------  -------------  ----------------------------  -----------------------  ---------------------------  ----------------  ------------------------------------------------------------------------------------------------------------------------------  -------------------------  -------------
Total                                                                                                              100.000%                       100.000%                                                                     0s                            0s                       0s                           0s  [Unknown]         [Unknown]                                                                                                                       [Unknown]                  [Unknown]    
 clone                                                                                                              97.888%                        97.888%                                                                     0s                            0s                       0s                           0s  libc.so.6         clone                                                                                                                           [Unknown]                  0x39e30      
  start_thread                                                                                                      97.888%                        97.888%                                                                     0s                            0s                       0s                           0s  libpthread.so.0   start_thread                                                                                                                    [Unknown]                  0x80e0       
   execute                                                                                                          97.888%                        97.888%                                                                50.161s                       50.161s                       0s                           0s  particle_m_1.exe  execute(void*)                                                                                                                  [Unknown]                  0xbadcc0     
    TaskQueue<Task>::pollTask.constprop.0                                                                           37.066%                        37.066%                                                                30.709s                       30.709s                       0s                           0s  particle_m_1.exe  TaskQueue<Task>::pollTask(std::function<bool (std::atomic<unsigned long>&, unsigned long)>*).constprop.0                        [Unknown]                  0xbacdb0     
    std::_Function_handler<void (void), barrier(boost::shared_ptr<Bit_Mask>)::{lambda()#1}>::_M_invoke               0.024%                         0.024%                                                                 0.020s                        0.020s                       0s                           0s  particle_m_1.exe  std::_Function_handler<void (void), barrier(boost::shared_ptr<Bit_Mask>)::{lambda()#1}>::_M_invoke(std::_Any_data const&)       [Unknown]                  0xbad0b0     
    _M_invoke                                                                                                        0.012%                         0.012%                                                                     0s                            0s                       0s                           0s  particle_m_1.exe  _M_invoke                                                                                                                       std_function.h             0x403948     
     __invoke_r<void, main(int, char**)::<lambda()>&>                                                                0.012%                         0.012%                                                                     0s                            0s                       0s                           0s  particle_m_1.exe  __invoke_r<void, main(int, char**)::<lambda()>&>                                                                                invoke.h                   0x403948     
      __invoke_impl<void, main(int, char**)::<lambda()>&>                                                            0.012%                         0.012%                                                                     0s                            0s                       0s                           0s  particle_m_1.exe  __invoke_impl<void, main(int, char**)::<lambda()>&>                                                                             invoke.h                   0x403948     
       operator()                                                                                                    0.012%                         0.012%                                                                     0s                            0s                       0s                           0s  particle_m_1.exe  operator()                                                                                                                      particle_m_1.cxx           0x403948     
        roundDouble                                                                                                  0.012%                         0.012%                                                                 0.010s                        0.010s                       0s                           0s  particle_m_1.exe  roundDouble(double)                                                                                                             cuda_lib_particle_m_1.cu   0xbb04b0     
    _M_invoke                                                                                                        0.012%                         0.012%                                                                     0s                            0s                       0s                           0s  particle_m_1.exe  _M_invoke                                                                                                                       std_function.h             0x403980     
     __invoke_r<void, main(int, char**)::<lambda()>&>                                                                0.012%                         0.012%                                                                     0s                            0s                       0s                           0s  particle_m_1.exe  __invoke_r<void, main(int, char**)::<lambda()>&>                                                                                invoke.h                   0x403980     
      __invoke_impl<void, main(int, char**)::<lambda()>&>                                                            0.012%                         0.012%                                                                     0s                            0s                       0s                           0s  particle_m_1.exe  __invoke_impl<void, main(int, char**)::<lambda()>&>                                                                             invoke.h                   0x403980     
       operator()                                                                                                    0.012%                         0.012%                                                                 0.010s                        0.010s                       0s                           0s  particle_m_1.exe  operator()                                                                                                                      particle_m_1.cxx           0x403980     
    _M_invoke                                                                                                        0.012%                         0.012%                                                                     0s                            0s                       0s                           0s  particle_m_1.exe  _M_invoke                                                                                                                       std_function.h             0x40399c     
     __invoke_r<void, main(int, char**)::<lambda()>&>                                                                0.012%                         0.012%                                                                     0s                            0s                       0s                           0s  particle_m_1.exe  __invoke_r<void, main(int, char**)::<lambda()>&>                                                                                invoke.h                   0x40399c     
      __invoke_impl<void, main(int, char**)::<lambda()>&>                                                            0.012%                         0.012%                                                                     0s                            0s                       0s                           0s  particle_m_1.exe  __invoke_impl<void, main(int, char**)::<lambda()>&>                                                                             invoke.h                   0x40399c     
       operator()                                                                                                    0.012%                         0.012%                                                                 0.010s                        0.010s                       0s                           0s  particle_m_1.exe  operator()                                                                                                                      particle_m_1.cxx           0x40399c     
    _M_invoke                                                                                                        0.012%                         0.012%                                                                     0s                            0s                       0s                           0s  particle_m_1.exe  _M_invoke                                                                                                                       std_function.h             0x4039f0     
     __invoke_r<void, main(int, char**)::<lambda()>&>                                                                0.012%                         0.012%                                                                     0s                            0s                       0s                           0s  particle_m_1.exe  __invoke_r<void, main(int, char**)::<lambda()>&>                                                                                invoke.h                   0x4039f0     
      __invoke_impl<void, main(int, char**)::<lambda()>&>                                                            0.012%                         0.012%                                                                     0s                            0s                       0s                           0s  particle_m_1.exe  __invoke_impl<void, main(int, char**)::<lambda()>&>                                                                             invoke.h                   0x4039f0     
       operator()                                                                                                    0.012%                         0.012%                                                                 0.010s                        0.010s                       0s                           0s  particle_m_1.exe  operator()                                                                                                                      particle_m_1.cxx           0x4039f0     
    _M_invoke                                                                                                        0.012%                         0.012%                                                                     0s                            0s                       0s                           0s  particle_m_1.exe  _M_invoke                                                                                                                       std_function.h             0x403a0c     
     __invoke_r<void, main(int, char**)::<lambda()>&>                                                                0.012%                         0.012%                                                                     0s                            0s                       0s                           0s  particle_m_1.exe  __invoke_r<void, main(int, char**)::<lambda()>&>                                                                                invoke.h                   0x403a0c     
      __invoke_impl<void, main(int, char**)::<lambda()>&>                                                            0.012%                         0.012%                                                                     0s                            0s                       0s                           0s  particle_m_1.exe  __invoke_impl<void, main(int, char**)::<lambda()>&>                                                                             invoke.h                   0x403a0c     
       operator()                                                                                                    0.012%                         0.012%                                                                 0.010s                        0.010s                       0s                           0s  particle_m_1.exe  operator()                                                                                                                      particle_m_1.cxx           0x403a0c     
    _M_invoke                                                                                                        0.012%                         0.012%                                                                     0s                            0s                       0s                           0s  particle_m_1.exe  _M_invoke                                                                                                                       std_function.h             0x403a28     
     __invoke_r<void, main(int, char**)::<lambda()>&>                                                                0.012%                         0.012%                                                                     0s                            0s                       0s                           0s  particle_m_1.exe  __invoke_r<void, main(int, char**)::<lambda()>&>                                                                                invoke.h                   0x403a28     
      __invoke_impl<void, main(int, char**)::<lambda()>&>                                                            0.012%                         0.012%                                                                     0s                            0s                       0s                           0s  particle_m_1.exe  __invoke_impl<void, main(int, char**)::<lambda()>&>                                                                             invoke.h                   0x403a28     
       operator()                                                                                                    0.012%                         0.012%                                                                     0s                            0s                       0s                           0s  particle_m_1.exe  operator()                                                                                                                      particle_m_1.cxx           0x403a28     
        roundDouble                                                                                                  0.012%                         0.012%                                                                 0.010s                        0.010s                       0s                           0s  particle_m_1.exe  roundDouble(double)                                                                                                             cuda_lib_particle_m_1.cu   0xbb04b0     
    _M_invoke                                                                                                        0.012%                         0.012%                                                                     0s                            0s                       0s                           0s  particle_m_1.exe  _M_invoke                                                                                                                       std_function.h             0x403a7c     
     __invoke_r<void, main(int, char**)::<lambda()>&>                                                                0.012%                         0.012%                                                                     0s                            0s                       0s                           0s  particle_m_1.exe  __invoke_r<void, main(int, char**)::<lambda()>&>                                                                                invoke.h                   0x403a7c     
      __invoke_impl<void, main(int, char**)::<lambda()>&>                                                            0.012%                         0.012%                                                                     0s                            0s                       0s                           0s  particle_m_1.exe  __invoke_impl<void, main(int, char**)::<lambda()>&>                                                                             invoke.h                   0x403a7c     
       operator()                                                                                                    0.012%                         0.012%                                                                 0.010s                        0.010s                       0s                           0s  particle_m_1.exe  operator()                                                                                                                      particle_m_1.cxx           0x403a7c     
    _M_invoke                                                                                                        0.012%                         0.012%                                                                     0s                            0s                       0s                           0s  particle_m_1.exe  _M_invoke                                                                                                                       std_function.h             0x402cb4     
     __invoke_r<void, main(int, char**)::<lambda()>&>                                                                0.012%                         0.012%                                                                     0s                            0s                       0s                           0s  particle_m_1.exe  __invoke_r<void, main(int, char**)::<lambda()>&>                                                                                invoke.h                   0x402cb4     
      __invoke_impl<void, main(int, char**)::<lambda()>&>                                                            0.012%                         0.012%                                                                     0s                            0s                       0s                           0s  particle_m_1.exe  __invoke_impl<void, main(int, char**)::<lambda()>&>                                                                             invoke.h                   0x402cb4     
       operator()                                                                                                    0.012%                         0.012%                                                                 0.010s                        0.010s                       0s                           0s  particle_m_1.exe  operator()                                                                                                                      particle_m_1.cxx           0x402cb4     
    _M_invoke                                                                                                        0.012%                         0.012%                                                                     0s                            0s                       0s                           0s  particle_m_1.exe  _M_invoke                                                                                                                       std_function.h             0x402cd0     
     __invoke_r<void, main(int, char**)::<lambda()>&>                                                                0.012%                         0.012%                                                                     0s                            0s                       0s                           0s  particle_m_1.exe  __invoke_r<void, main(int, char**)::<lambda()>&>                                                                                invoke.h                   0x402cd0     
      __invoke_impl<void, main(int, char**)::<lambda()>&>                                                            0.012%                         0.012%                                                                     0s                            0s                       0s                           0s  particle_m_1.exe  __invoke_impl<void, main(int, char**)::<lambda()>&>                                                                             invoke.h                   0x402cd0     
       operator()                                                                                                    0.012%                         0.012%                                                                 0.010s                        0.010s                       0s                           0s  particle_m_1.exe  operator()                                                                                                                      particle_m_1.cxx           0x402cd0     
    _M_invoke                                                                                                        0.012%                         0.012%                                                                     0s                            0s                       0s                           0s  particle_m_1.exe  _M_invoke                                                                                                                       std_function.h             0x402cec     
     __invoke_r<void, main(int, char**)::<lambda()>&>                                                                0.012%                         0.012%                                                                     0s                            0s                       0s                           0s  particle_m_1.exe  __invoke_r<void, main(int, char**)::<lambda()>&>                                                                                invoke.h                   0x402cec     
      __invoke_impl<void, main(int, char**)::<lambda()>&>                                                            0.012%                         0.012%                                                                     0s                            0s                       0s                           0s  particle_m_1.exe  __invoke_impl<void, main(int, char**)::<lambda()>&>                                                                             invoke.h                   0x402cec     
       operator()                                                                                                    0.012%                         0.012%                                                                     0s                            0s                       0s                           0s  particle_m_1.exe  operator()                                                                                                                      particle_m_1.cxx           0x402cec     
        roundDouble                                                                                                  0.012%                         0.012%                                                                 0.010s                        0.010s                       0s                           0s  particle_m_1.exe  roundDouble(double)                                                                                                             cuda_lib_particle_m_1.cu   0xbb04b0     
    _M_invoke                                                                                                        0.012%                         0.012%                                                                     0s                            0s                       0s                           0s  particle_m_1.exe  _M_invoke                                                                                                                       std_function.h             0x402d78     
     __invoke_r<void, main(int, char**)::<lambda()>&>                                                                0.012%                         0.012%                                                                     0s                            0s                       0s                           0s  particle_m_1.exe  __invoke_r<void, main(int, char**)::<lambda()>&>                                                                                invoke.h                   0x402d78     
      __invoke_impl<void, main(int, char**)::<lambda()>&>                                                            0.012%                         0.012%                                                                     0s                            0s                       0s                           0s  particle_m_1.exe  __invoke_impl<void, main(int, char**)::<lambda()>&>                                                                             invoke.h                   0x402d78     
       operator()                                                                                                    0.012%                         0.012%                                                                 0.010s                        0.010s                       0s                           0s  particle_m_1.exe  operator()                                                                                                                      particle_m_1.cxx           0x402d78     
    _M_invoke                                                                                                        0.012%                         0.012%                                                                     0s                            0s                       0s                           0s  particle_m_1.exe  _M_invoke                                                                                                                       std_function.h             0x402db0     
     __invoke_r<void, main(int, char**)::<lambda()>&>                                                                0.012%                         0.012%                                                                     0s                            0s                       0s                           0s  particle_m_1.exe  __invoke_r<void, main(int, char**)::<lambda()>&>                                                                                invoke.h                   0x402db0     
      __invoke_impl<void, main(int, char**)::<lambda()>&>                                                            0.012%                         0.012%                                                                     0s                            0s                       0s                           0s  particle_m_1.exe  __invoke_impl<void, main(int, char**)::<lambda()>&>                                                                             invoke.h                   0x402db0     
       operator()                                                                                                    0.012%                         0.012%                                                                 0.010s                        0.010s                       0s                           0s  particle_m_1.exe  operator()                                                                                                                      particle_m_1.cxx           0x402db0     
    _M_invoke                                                                                                        0.012%                         0.012%                                                                     0s                            0s                       0s                           0s  particle_m_1.exe  _M_invoke                                                                                                                       std_function.h             0x402dcc     
     __invoke_r<void, main(int, char**)::<lambda()>&>                                                                0.012%                         0.012%                                                                     0s                            0s                       0s                           0s  particle_m_1.exe  __invoke_r<void, main(int, char**)::<lambda()>&>                                                                                invoke.h                   0x402dcc     
      __invoke_impl<void, main(int, char**)::<lambda()>&>                                                            0.012%                         0.012%                                                                     0s                            0s                       0s                           0s  particle_m_1.exe  __invoke_impl<void, main(int, char**)::<lambda()>&>                                                                             invoke.h                   0x402dcc     
